# r       beta*mu
4.0       28.4881
4.1       28.5732
4.2       28.6427
4.3       28.6982
4.4       28.741
4.5       28.7723
4.6       28.7933
4.7       28.805
4.8       28.8079
4.9       28.8027
5         28.7899
5.1       28.7699
5.2       28.7433
5.3       28.7106
5.4       28.6725
5.5       28.6269
6         28.4133
6.1       28.3918
6.2       28.3818 
6.3       28.3817 
6.4       28.3894
6.5       28.4026
6.6       28.4189
6.7       28.4368
6.8       28.4548
6.9       28.4721
7         28.488
7.1       28.5021
7.2       28.5143
7.3       28.5243
7.4       28.5321
7.5       28.5377
7.6       28.5412
7.7       28.5425
7.8       28.5417
7.9       28.5391
8         28.5347
8.1       28.5289
8.2       28.5218
8.3       28.5138
8.4       28.5054
8.5       28.4971 
8.6       28.4892
8.7       28.4823
8.8       28.4767
8.9       28.4726
9         28.4702
9.1       28.4693
9.2       28.4698
9.3       28.4714
9.4       28.4738
9.5       28.4767
9.6       28.4799
9.7       28.4832
9.8       28.4864
9.9       28.4893
10        28.4922
10.5      28.5001
11        28.4972
11.5      28.4897
12        28.4862 
13        28.4911 
14        28.4914
15        28.4893
16        28.4905
#1e4      28.4902
